category, srcnode, srchostname, srcip, dstnode, dsthostname, dstip, clientcomponent, servercomponent, port
internal, 11, LVMOPAPIR1U, 10.119.134.12, 5, LVMOPAPIMP1U, 10.119.133.11, R, MP, 8998
internal, 11, LVMOPAPIR1U, 10.119.134.12, 5, LVMOPAPIMP1U, 10.119.133.11, R, MP, 8082
internal, 11, LVMOPAPIR1U, 10.119.134.12, 5, LVMOPAPIMP1U, 10.119.133.11, R, MP, 4527
internal, 11, LVMOPAPIR1U, 10.119.134.12, 6, LVMOPAPIMP2U, 10.119.133.12, R, MP, 4528
internal, 11, LVMOPAPIR1U, 10.119.134.12, 6, LVMOPAPIMP2U, 10.119.133.12, R, MP, 8998
internal, 11, LVMOPAPIR1U, 10.119.134.12, 6, LVMOPAPIMP2U, 10.119.133.12, R, MP, 8082
internal, 11, LVMOPAPIR1U, 10.119.134.12, 6, LVMOPAPIMP2U, 10.119.133.12, R, MP, 4527
internal, 12, LVMOPAPIR2U, 10.119.134.13, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 4528
internal, 12, LVMOPAPIR2U, 10.119.134.13, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 8998
internal, 12, LVMOPAPIR2U, 10.119.134.13, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 8082
internal, 12, LVMOPAPIR2U, 10.119.134.13, 7, LVMOPAPIRMP1U, 10.119.133.13, R, MP, 4527
internal, 12, LVMOPAPIR2U, 10.119.134.13, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 4528
internal, 12, LVMOPAPIR2U, 10.119.134.13, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 8998
internal, 12, LVMOPAPIR2U, 10.119.134.13, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 8082
internal, 12, LVMOPAPIR2U, 10.119.134.13, 8, LVMOPAPIRMP2U, 10.119.133.14, R, MP, 4527
internal, 12, LVMOPAPIR2U, 10.119.134.13, 5, LVMOPAPIMP1U, 10.119.133.11, R, MP, 4528
internal, 12, LVMOPAPIR2U, 10.119.134.13, 5, LVMOPAPIMP1U, 10.119.133.11, R, MP, 8998
internal, 12, LVMOPAPIR2U, 10.119.134.13, 5, LVMOPAPIMP1U, 10.119.133.11, R, MP, 8082
internal, 12, LVMOPAPIR2U, 10.119.134.13, 5, LVMOPAPIMP1U, 10.119.133.11, R, MP, 4527
internal, 12, LVMOPAPIR2U, 10.119.134.13, 6, LVMOPAPIMP2U, 10.119.133.12, R, MP, 4528
internal, 12, LVMOPAPIR2U, 10.119.134.13, 6, LVMOPAPIMP2U, 10.119.133.12, R, MP, 8998
internal, 12, LVMOPAPIR2U, 10.119.134.13, 6, LVMOPAPIMP2U, 10.119.133.12, R, MP, 8082
internal, 12, LVMOPAPIR2U, 10.119.134.13, 6, LVMOPAPIMP2U, 10.119.133.12, R, MP, 4527
internal, 11, LVMOPAPIR1U, 10.119.134.12, 9, LVMOPAPIQD1U, 10.119.133.15, R, MS, 8080
internal, 12, LVMOPAPIR2U, 10.119.134.13, 9, LVMOPAPIQD1U, 10.119.133.15, R, MS, 8080
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 1, LVMOPAPIQD2U, 10.119.131.11, R, QIS, 5672
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 1, LVMOPAPIQD2U, 10.119.131.11, R, QIS, 5672
internal, 11, LVMOPAPIR1U, 10.119.134.12, 1, LVMOPAPIQD2U, 10.119.131.11, R, QIS, 5672
internal, 11, LVMOPAPIR1U, 10.119.134.12, 9, LVMOPAPIQD1U, 10.119.133.15, R, QIS, 5672
internal, 12, LVMOPAPIR2U, 10.119.134.13, 1, LVMOPAPIQD2U, 10.119.131.11, R, QIS, 5672
internal, 12, LVMOPAPIR2U, 10.119.134.13, 9, LVMOPAPIQD1U, 10.119.133.15, R, QIS, 5672
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 2, LVMOPAPICS1U, 10.119.132.11, R, ZK, 2181
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 3, LVMOPAPICS2U, 10.119.132.12, R, ZK, 2181
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 4, LVMOPAPICS3U, 10.119.132.13, R, ZK, 2181
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 2, LVMOPAPICS1U, 10.119.132.11, R, ZK, 2181
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 3, LVMOPAPICS2U, 10.119.132.12, R, ZK, 2181
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 4, LVMOPAPICS3U, 10.119.132.13, R, ZK, 2181
internal, 11, LVMOPAPIR1U, 10.119.134.12, 2, LVMOPAPICS1U, 10.119.132.11, R, ZK, 2181
internal, 11, LVMOPAPIR1U, 10.119.134.12, 3, LVMOPAPICS2U, 10.119.132.12, R, ZK, 2181
internal, 11, LVMOPAPIR1U, 10.119.134.12, 4, LVMOPAPICS3U, 10.119.132.13, R, ZK, 2181
internal, 12, LVMOPAPIR2U, 10.119.134.13, 2, LVMOPAPICS1U, 10.119.132.11, R, ZK, 2181
internal, 12, LVMOPAPIR2U, 10.119.134.13, 3, LVMOPAPICS2U, 10.119.132.12, R, ZK, 2181
internal, 12, LVMOPAPIR2U, 10.119.134.13, 4, LVMOPAPICS3U, 10.119.132.13, R, ZK, 2181
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 2, LVMOPAPICS1U, 10.119.132.11, R, CS, 9042
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 2, LVMOPAPICS1U, 10.119.132.11, R, CS, 9160
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 3, LVMOPAPICS2U, 10.119.132.12, R, CS, 9042
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 3, LVMOPAPICS2U, 10.119.132.12, R, CS, 9160
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 4, LVMOPAPICS3U, 10.119.132.13, R, CS, 9042
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 4, LVMOPAPICS3U, 10.119.132.13, R, CS, 9160
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 2, LVMOPAPICS1U, 10.119.132.11, R, CS, 9042
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 2, LVMOPAPICS1U, 10.119.132.11, R, CS, 9160
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 3, LVMOPAPICS2U, 10.119.132.12, R, CS, 9042
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 3, LVMOPAPICS2U, 10.119.132.12, R, CS, 9160
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 4, LVMOPAPICS3U, 10.119.132.13, R, CS, 9042
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 4, LVMOPAPICS3U, 10.119.132.13, R, CS, 9160
internal, 11, LVMOPAPIR1U, 10.119.134.12, 2, LVMOPAPICS1U, 10.119.132.11, R, CS, 9042
internal, 11, LVMOPAPIR1U, 10.119.134.12, 2, LVMOPAPICS1U, 10.119.132.11, R, CS, 9160
internal, 11, LVMOPAPIR1U, 10.119.134.12, 3, LVMOPAPICS2U, 10.119.132.12, R, CS, 9042
internal, 11, LVMOPAPIR1U, 10.119.134.12, 3, LVMOPAPICS2U, 10.119.132.12, R, CS, 9160
internal, 11, LVMOPAPIR1U, 10.119.134.12, 4, LVMOPAPICS3U, 10.119.132.13, R, CS, 9042
internal, 11, LVMOPAPIR1U, 10.119.134.12, 4, LVMOPAPICS3U, 10.119.132.13, R, CS, 9160
internal, 12, LVMOPAPIR2U, 10.119.134.13, 2, LVMOPAPICS1U, 10.119.132.11, R, CS, 9042
internal, 12, LVMOPAPIR2U, 10.119.134.13, 2, LVMOPAPICS1U, 10.119.132.11, R, CS, 9160
internal, 12, LVMOPAPIR2U, 10.119.134.13, 3, LVMOPAPICS2U, 10.119.132.12, R, CS, 9042
internal, 12, LVMOPAPIR2U, 10.119.134.13, 3, LVMOPAPICS2U, 10.119.132.12, R, CS, 9160
internal, 12, LVMOPAPIR2U, 10.119.134.13, 4, LVMOPAPICS3U, 10.119.132.13, R, CS, 9042
internal, 12, LVMOPAPIR2U, 10.119.134.13, 4, LVMOPAPICS3U, 10.119.132.13, R, CS, 9160
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 11, LVMOPAPIR1U, 10.119.134.12, R, R, 4527
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 12, LVMOPAPIR2U, 10.119.134.13, R, R, 4527
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 11, LVMOPAPIR1U, 10.119.134.12, R, R, 4527
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 12, LVMOPAPIR2U, 10.119.134.13, R, R, 4527
internal, 11, LVMOPAPIR1U, 10.119.134.12, 7, LVMOPAPIRMP1U, 10.119.133.13, R, R, 4527
internal, 11, LVMOPAPIR1U, 10.119.134.12, 8, LVMOPAPIRMP2U, 10.119.133.14, R, R, 4527
internal, 12, LVMOPAPIR2U, 10.119.134.13, 7, LVMOPAPIRMP1U, 10.119.133.13, R, R, 4527
internal, 12, LVMOPAPIR2U, 10.119.134.13, 8, LVMOPAPIRMP2U, 10.119.133.14, R, R, 4527
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 1, LVMOPAPIQD2U, 10.119.131.11, MP, QIS, 5672
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 1, LVMOPAPIQD2U, 10.119.131.11, MP, QIS, 5672
internal, 5, LVMOPAPIMP1U, 10.119.133.11, 1, LVMOPAPIQD2U, 10.119.131.11, MP, QIS, 5672
internal, 6, LVMOPAPIMP2U, 10.119.133.12, 1, LVMOPAPIQD2U, 10.119.131.11, MP, QIS, 5672
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 2, LVMOPAPICS1U, 10.119.132.11, MP, ZK, 2181
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 3, LVMOPAPICS2U, 10.119.132.12, MP, ZK, 2181
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 4, LVMOPAPICS3U, 10.119.132.13, MP, ZK, 2181
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 2, LVMOPAPICS1U, 10.119.132.11, MP, ZK, 2181
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 3, LVMOPAPICS2U, 10.119.132.12, MP, ZK, 2181
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 4, LVMOPAPICS3U, 10.119.132.13, MP, ZK, 2181
internal, 5, LVMOPAPIMP1U, 10.119.133.11, 2, LVMOPAPICS1U, 10.119.132.11, MP, ZK, 2181
internal, 5, LVMOPAPIMP1U, 10.119.133.11, 3, LVMOPAPICS2U, 10.119.132.12, MP, ZK, 2181
internal, 5, LVMOPAPIMP1U, 10.119.133.11, 4, LVMOPAPICS3U, 10.119.132.13, MP, ZK, 2181
internal, 6, LVMOPAPIMP2U, 10.119.133.12, 2, LVMOPAPICS1U, 10.119.132.11, MP, ZK, 2181
internal, 6, LVMOPAPIMP2U, 10.119.133.12, 3, LVMOPAPICS2U, 10.119.132.12, MP, ZK, 2181
internal, 6, LVMOPAPIMP2U, 10.119.133.12, 4, LVMOPAPICS3U, 10.119.132.13, MP, ZK, 2181
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 2, LVMOPAPICS1U, 10.119.132.11, MP, CS, 9042
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 2, LVMOPAPICS1U, 10.119.132.11, MP, CS, 9160
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 3, LVMOPAPICS2U, 10.119.132.12, MP, CS, 9042
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 3, LVMOPAPICS2U, 10.119.132.12, MP, CS, 9160
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 4, LVMOPAPICS3U, 10.119.132.13, MP, CS, 9042
internal, 7, LVMOPAPIRMP1U, 10.119.133.13, 4, LVMOPAPICS3U, 10.119.132.13, MP, CS, 9160
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 2, LVMOPAPICS1U, 10.119.132.11, MP, CS, 9042
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 2, LVMOPAPICS1U, 10.119.132.11, MP, CS, 9160
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 3, LVMOPAPICS2U, 10.119.132.12, MP, CS, 9042
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 3, LVMOPAPICS2U, 10.119.132.12, MP, CS, 9160
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 4, LVMOPAPICS3U, 10.119.132.13, MP, CS, 9042
internal, 8, LVMOPAPIRMP2U, 10.119.133.14, 4, LVMOPAPICS3U, 10.119.132.13, MP, CS, 9160
internal, 5, LVMOPAPIMP1U, 10.119.133.11, 2, LVMOPAPICS1U, 10.119.132.11, MP, CS, 9042
internal, 5, LVMOPAPIMP1U, 10.119.133.11, 2, LVMOPAPICS1U, 10.119.132.11, MP, CS, 9160
internal, 5, LVMOPAPIMP1U, 10.119.133.11, 3, LVMOPAPICS2U, 10.119.132.12, MP, CS, 9042
internal, 5, LVMOPAPIMP1U, 10.119.133.11, 3, LVMOPAPICS2U, 10.119.132.12, MP, CS, 9160
internal, 5, LVMOPAPIMP1U, 10.119.133.11, 4, LVMOPAPICS3U, 10.119.132.13, MP, CS, 9042
internal, 5, LVMOPAPIMP1U, 10.119.133.11, 4, LVMOPAPICS3U, 10.119.132.13, MP, CS, 9160
internal, 6, LVMOPAPIMP2U, 10.119.133.12, 2, LVMOPAPICS1U, 10.119.132.11, MP, CS, 9042
internal, 6, LVMOPAPIMP2U, 10.119.133.12, 2, LVMOPAPICS1U, 10.119.132.11, MP, CS, 9160
internal, 6, LVMOPAPIMP2U, 10.119.133.12, 3, LVMOPAPICS2U, 10.119.132.12, MP, CS, 9042
internal, 6, LVMOPAPIMP2U, 10.119.133.12, 3, LVMOPAPICS2U, 10.119.132.12, MP, CS, 9160
internal, 6, LVMOPAPIMP2U, 10.119.133.12, 4, LVMOPAPICS3U, 10.119.132.13, MP, CS, 9042
internal, 6, LVMOPAPIMP2U, 10.119.133.12, 4, LVMOPAPICS3U, 10.119.132.13, MP, CS, 9160
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 1, LVMOPAPIQD2U, 10.119.131.11, MS, QIS, 4529
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 1, LVMOPAPIQD2U, 10.119.131.11, MS, QIS, 8083
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 1, LVMOPAPIQD2U, 10.119.131.11, MS, PS, 4530
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 1, LVMOPAPIQD2U, 10.119.131.11, MS, PS, 8084
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 2, LVMOPAPICS1U, 10.119.132.11, MS, ZK, 2181
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 3, LVMOPAPICS2U, 10.119.132.12, MS, ZK, 2181
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 4, LVMOPAPICS3U, 10.119.132.13, MS, ZK, 2181
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 2, LVMOPAPICS1U, 10.119.132.11, MS, CS, 9042
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 2, LVMOPAPICS1U, 10.119.132.11, MS, CS, 9160
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 3, LVMOPAPICS2U, 10.119.132.12, MS, CS, 9042
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 3, LVMOPAPICS2U, 10.119.132.12, MS, CS, 9160
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 4, LVMOPAPICS3U, 10.119.132.13, MS, CS, 9042
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 4, LVMOPAPICS3U, 10.119.132.13, MS, CS, 9160
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 11, LVMOPAPIR1U, 10.119.134.12, MS, R, 4527
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 11, LVMOPAPIR1U, 10.119.134.12, MS, R, 8081
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 12, LVMOPAPIR2U, 10.119.134.13, MS, R, 4527
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 12, LVMOPAPIR2U, 10.119.134.13, MS, R, 8081
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 2, LVMOPAPICS1U, 10.119.132.11, MS, OL, 10389
internal, 9, LVMOPAPIQD1U, 10.119.133.15, -2, server, 0.0.0.0/0, UI, SMTP, 25
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 9, LVMOPAPIQD1U, 10.119.133.15, QIS, MS, 8080
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 2, LVMOPAPICS1U, 10.119.132.11, QIS, ZK, 2181
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 3, LVMOPAPICS2U, 10.119.132.12, QIS, ZK, 2181
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 4, LVMOPAPICS3U, 10.119.132.13, QIS, ZK, 2181
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 2, LVMOPAPICS1U, 10.119.132.11, QIS, ZK, 2181
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 3, LVMOPAPICS2U, 10.119.132.12, QIS, ZK, 2181
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 4, LVMOPAPICS3U, 10.119.132.13, QIS, ZK, 2181
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 2, LVMOPAPICS1U, 10.119.132.11, QIS, CS, 9042
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 2, LVMOPAPICS1U, 10.119.132.11, QIS, CS, 9160
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 3, LVMOPAPICS2U, 10.119.132.12, QIS, CS, 9042
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 3, LVMOPAPICS2U, 10.119.132.12, QIS, CS, 9160
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 4, LVMOPAPICS3U, 10.119.132.13, QIS, CS, 9042
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 4, LVMOPAPICS3U, 10.119.132.13, QIS, CS, 9160
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 2, LVMOPAPICS1U, 10.119.132.11, QIS, CS, 9042
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 2, LVMOPAPICS1U, 10.119.132.11, QIS, CS, 9160
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 3, LVMOPAPICS2U, 10.119.132.12, QIS, CS, 9042
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 3, LVMOPAPICS2U, 10.119.132.12, QIS, CS, 9160
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 4, LVMOPAPICS3U, 10.119.132.13, QIS, CS, 9042
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 4, LVMOPAPICS3U, 10.119.132.13, QIS, CS, 9160
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 1, LVMOPAPIQD2U, 10.119.131.11, QIS, PG, 5432
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 2, LVMOPAPICS1U, 10.119.132.11, PS, ZK, 2181
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 3, LVMOPAPICS2U, 10.119.132.12, PS, ZK, 2181
internal, 1, LVMOPAPIQD2U, 10.119.131.11, 4, LVMOPAPICS3U, 10.119.132.13, PS, ZK, 2181
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 2, LVMOPAPICS1U, 10.119.132.11, BS, CS, 9042
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 2, LVMOPAPICS1U, 10.119.132.11, BS, CS, 9160
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 3, LVMOPAPICS2U, 10.119.132.12, BS, CS, 9042
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 3, LVMOPAPICS2U, 10.119.132.12, BS, CS, 9160
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 4, LVMOPAPICS3U, 10.119.132.13, BS, CS, 9042
internal, 9, LVMOPAPIQD1U, 10.119.133.15, 4, LVMOPAPICS3U, 10.119.132.13, BS, CS, 9160
internal, 9, LVMOPAPIQD1U, 10.119.133.15, -2, server, 0.0.0.0/0, BS, SMTP, 25
internal, 10, LVMOPAPIDPU, 10.119.134.11, 7, LVMOPAPIRMP1U, 10.119.133.13, DP, R, 59002
internal, 10, LVMOPAPIDPU, 10.119.134.11, 8, LVMOPAPIRMP2U, 10.119.133.14, DP, R, 59002
internal, 10, LVMOPAPIDPU, 10.119.134.11, -2, server, 0.0.0.0/0, DP, SMTP, 25
monitoring, 1, LVMOPAPIQD2U, 10.119.131.11, 9, LVMOPAPIQD1U, 10.119.133.15, TG, IF, 8086
monitoring, 2, LVMOPAPICS1U, 10.119.132.11, 9, LVMOPAPIQD1U, 10.119.133.15, TG, IF, 8086
monitoring, 3, LVMOPAPICS2U, 10.119.132.12, 9, LVMOPAPIQD1U, 10.119.133.15, TG, IF, 8086
monitoring, 4, LVMOPAPICS3U, 10.119.132.13, 9, LVMOPAPIQD1U, 10.119.133.15, TG, IF, 8086
monitoring, 11, LVMOPAPIR1U, 10.119.134.12, 9, LVMOPAPIQD1U, 10.119.133.15, TG, IF, 8086
monitoring, 12, LVMOPAPIR2U, 10.119.134.13, 9, LVMOPAPIQD1U, 10.119.133.15, TG, IF, 8086
