srcnode, srchostname, dstnode, dsthostname, clientcomponent, servercomponent, port
2, nnnxxxyyy02, 7, nnnxxxyyy07, R, MP, 8082
2, nnnxxxyyy02, 7, nnnxxxyyy07, R, MP, 4527
1, nnnxxxyyy01, 3, nnnxxxyyy03, R, MS, 8080
2, nnnxxxyyy02, 3, nnnxxxyyy03, R, MS, 8080
1, nnnxxxyyy01, 18, nnnxxxyyy18, R, QIS, 5672
1, nnnxxxyyy01, 19, nnnxxxyyy20, R, QIS, 5672
2, nnnxxxyyy02, 18, nnnxxxyyy18, R, QIS, 5672
2, nnnxxxyyy02, 19, nnnxxxyyy20, R, QIS, 5672
1, nnnxxxyyy01, 12, nnnxxxyyy12, R, ZK, 2181
1, nnnxxxyyy01, 13, nnnxxxyyy13, R, ZK, 2181
1, nnnxxxyyy01, 14, nnnxxxyyy14, R, ZK, 2181
2, nnnxxxyyy02, 12, nnnxxxyyy12, R, ZK, 2181
2, nnnxxxyyy02, 13, nnnxxxyyy13, R, ZK, 2181
2, nnnxxxyyy02, 14, nnnxxxyyy14, R, ZK, 2181
1, nnnxxxyyy01, 12, nnnxxxyyy12, R, CS, 9042
1, nnnxxxyyy01, 12, nnnxxxyyy12, R, CS, 9160
1, nnnxxxyyy01, 13, nnnxxxyyy13, R, CS, 9042
1, nnnxxxyyy01, 13, nnnxxxyyy13, R, CS, 9160
1, nnnxxxyyy01, 14, nnnxxxyyy14, R, CS, 9042
1, nnnxxxyyy01, 14, nnnxxxyyy14, R, CS, 9160
1, nnnxxxyyy01, 15, nnnxxxyyy15, R, CS, 9042
1, nnnxxxyyy01, 15, nnnxxxyyy15, R, CS, 9160
1, nnnxxxyyy01, 16, nnnxxxyyy16, R, CS, 9042
1, nnnxxxyyy01, 16, nnnxxxyyy16, R, CS, 9160
1, nnnxxxyyy01, 17, nnnxxxyyy17, R, CS, 9042
1, nnnxxxyyy01, 17, nnnxxxyyy17, R, CS, 9160
2, nnnxxxyyy02, 12, nnnxxxyyy12, R, CS, 9042
2, nnnxxxyyy02, 12, nnnxxxyyy12, R, CS, 9160
2, nnnxxxyyy02, 13, nnnxxxyyy13, R, CS, 9042
2, nnnxxxyyy02, 13, nnnxxxyyy13, R, CS, 9160
2, nnnxxxyyy02, 14, nnnxxxyyy14, R, CS, 9042
2, nnnxxxyyy02, 14, nnnxxxyyy14, R, CS, 9160
2, nnnxxxyyy02, 15, nnnxxxyyy15, R, CS, 9042
2, nnnxxxyyy02, 15, nnnxxxyyy15, R, CS, 9160
2, nnnxxxyyy02, 16, nnnxxxyyy16, R, CS, 9042
2, nnnxxxyyy02, 16, nnnxxxyyy16, R, CS, 9160
2, nnnxxxyyy02, 17, nnnxxxyyy17, R, CS, 9042
2, nnnxxxyyy02, 17, nnnxxxyyy17, R, CS, 9160
3, nnnxxxyyy03, 18, nnnxxxyyy18, MP, QIS, 4529
3, nnnxxxyyy03, 19, nnnxxxyyy20, MP, QIS, 4529
4, nnnxxxyyy04, 18, nnnxxxyyy18, MP, QIS, 4529
4, nnnxxxyyy04, 19, nnnxxxyyy20, MP, QIS, 4529
5, nnnxxxyyy05, 18, nnnxxxyyy18, MP, QIS, 4529
5, nnnxxxyyy05, 19, nnnxxxyyy20, MP, QIS, 4529
6, nnnxxxyyy06, 18, nnnxxxyyy18, MP, QIS, 4529
6, nnnxxxyyy06, 19, nnnxxxyyy20, MP, QIS, 4529
7, nnnxxxyyy07, 18, nnnxxxyyy18, MP, QIS, 4529
7, nnnxxxyyy07, 19, nnnxxxyyy20, MP, QIS, 4529
3, nnnxxxyyy03, 12, nnnxxxyyy12, MP, ZK, 2181
3, nnnxxxyyy03, 13, nnnxxxyyy13, MP, ZK, 2181
3, nnnxxxyyy03, 14, nnnxxxyyy14, MP, ZK, 2181
4, nnnxxxyyy04, 12, nnnxxxyyy12, MP, ZK, 2181
4, nnnxxxyyy04, 13, nnnxxxyyy13, MP, ZK, 2181
4, nnnxxxyyy04, 14, nnnxxxyyy14, MP, ZK, 2181
5, nnnxxxyyy05, 12, nnnxxxyyy12, MP, ZK, 2181
5, nnnxxxyyy05, 13, nnnxxxyyy13, MP, ZK, 2181
5, nnnxxxyyy05, 14, nnnxxxyyy14, MP, ZK, 2181
6, nnnxxxyyy06, 12, nnnxxxyyy12, MP, ZK, 2181
6, nnnxxxyyy06, 13, nnnxxxyyy13, MP, ZK, 2181
6, nnnxxxyyy06, 14, nnnxxxyyy14, MP, ZK, 2181
7, nnnxxxyyy07, 12, nnnxxxyyy12, MP, ZK, 2181
7, nnnxxxyyy07, 13, nnnxxxyyy13, MP, ZK, 2181
7, nnnxxxyyy07, 14, nnnxxxyyy14, MP, ZK, 2181
3, nnnxxxyyy03, 12, nnnxxxyyy12, MP, CS, 9042
3, nnnxxxyyy03, 12, nnnxxxyyy12, MP, CS, 9160
3, nnnxxxyyy03, 13, nnnxxxyyy13, MP, CS, 9042
3, nnnxxxyyy03, 13, nnnxxxyyy13, MP, CS, 9160
3, nnnxxxyyy03, 14, nnnxxxyyy14, MP, CS, 9042
3, nnnxxxyyy03, 14, nnnxxxyyy14, MP, CS, 9160
3, nnnxxxyyy03, 15, nnnxxxyyy15, MP, CS, 9042
3, nnnxxxyyy03, 15, nnnxxxyyy15, MP, CS, 9160
3, nnnxxxyyy03, 16, nnnxxxyyy16, MP, CS, 9042
3, nnnxxxyyy03, 16, nnnxxxyyy16, MP, CS, 9160
3, nnnxxxyyy03, 17, nnnxxxyyy17, MP, CS, 9042
3, nnnxxxyyy03, 17, nnnxxxyyy17, MP, CS, 9160
4, nnnxxxyyy04, 12, nnnxxxyyy12, MP, CS, 9042
4, nnnxxxyyy04, 12, nnnxxxyyy12, MP, CS, 9160
4, nnnxxxyyy04, 13, nnnxxxyyy13, MP, CS, 9042
4, nnnxxxyyy04, 13, nnnxxxyyy13, MP, CS, 9160
4, nnnxxxyyy04, 14, nnnxxxyyy14, MP, CS, 9042
4, nnnxxxyyy04, 14, nnnxxxyyy14, MP, CS, 9160
4, nnnxxxyyy04, 15, nnnxxxyyy15, MP, CS, 9042
4, nnnxxxyyy04, 15, nnnxxxyyy15, MP, CS, 9160
4, nnnxxxyyy04, 16, nnnxxxyyy16, MP, CS, 9042
4, nnnxxxyyy04, 16, nnnxxxyyy16, MP, CS, 9160
4, nnnxxxyyy04, 17, nnnxxxyyy17, MP, CS, 9042
4, nnnxxxyyy04, 17, nnnxxxyyy17, MP, CS, 9160
5, nnnxxxyyy05, 12, nnnxxxyyy12, MP, CS, 9042
5, nnnxxxyyy05, 12, nnnxxxyyy12, MP, CS, 9160
5, nnnxxxyyy05, 13, nnnxxxyyy13, MP, CS, 9042
5, nnnxxxyyy05, 13, nnnxxxyyy13, MP, CS, 9160
5, nnnxxxyyy05, 14, nnnxxxyyy14, MP, CS, 9042
5, nnnxxxyyy05, 14, nnnxxxyyy14, MP, CS, 9160
5, nnnxxxyyy05, 15, nnnxxxyyy15, MP, CS, 9042
5, nnnxxxyyy05, 15, nnnxxxyyy15, MP, CS, 9160
5, nnnxxxyyy05, 16, nnnxxxyyy16, MP, CS, 9042
5, nnnxxxyyy05, 16, nnnxxxyyy16, MP, CS, 9160
5, nnnxxxyyy05, 17, nnnxxxyyy17, MP, CS, 9042
5, nnnxxxyyy05, 17, nnnxxxyyy17, MP, CS, 9160
6, nnnxxxyyy06, 12, nnnxxxyyy12, MP, CS, 9042
6, nnnxxxyyy06, 12, nnnxxxyyy12, MP, CS, 9160
6, nnnxxxyyy06, 13, nnnxxxyyy13, MP, CS, 9042
6, nnnxxxyyy06, 13, nnnxxxyyy13, MP, CS, 9160
6, nnnxxxyyy06, 14, nnnxxxyyy14, MP, CS, 9042
6, nnnxxxyyy06, 14, nnnxxxyyy14, MP, CS, 9160
6, nnnxxxyyy06, 15, nnnxxxyyy15, MP, CS, 9042
6, nnnxxxyyy06, 15, nnnxxxyyy15, MP, CS, 9160
6, nnnxxxyyy06, 16, nnnxxxyyy16, MP, CS, 9042
6, nnnxxxyyy06, 16, nnnxxxyyy16, MP, CS, 9160
6, nnnxxxyyy06, 17, nnnxxxyyy17, MP, CS, 9042
6, nnnxxxyyy06, 17, nnnxxxyyy17, MP, CS, 9160
7, nnnxxxyyy07, 12, nnnxxxyyy12, MP, CS, 9042
7, nnnxxxyyy07, 12, nnnxxxyyy12, MP, CS, 9160
7, nnnxxxyyy07, 13, nnnxxxyyy13, MP, CS, 9042
7, nnnxxxyyy07, 13, nnnxxxyyy13, MP, CS, 9160
7, nnnxxxyyy07, 14, nnnxxxyyy14, MP, CS, 9042
7, nnnxxxyyy07, 14, nnnxxxyyy14, MP, CS, 9160
7, nnnxxxyyy07, 15, nnnxxxyyy15, MP, CS, 9042
7, nnnxxxyyy07, 15, nnnxxxyyy15, MP, CS, 9160
7, nnnxxxyyy07, 16, nnnxxxyyy16, MP, CS, 9042
7, nnnxxxyyy07, 16, nnnxxxyyy16, MP, CS, 9160
7, nnnxxxyyy07, 17, nnnxxxyyy17, MP, CS, 9042
7, nnnxxxyyy07, 17, nnnxxxyyy17, MP, CS, 9160
3, nnnxxxyyy03, 18, nnnxxxyyy18, MS, QIS, 4529
3, nnnxxxyyy03, 19, nnnxxxyyy20, MS, QIS, 4529
3, nnnxxxyyy03, 18, nnnxxxyyy18, MS, PG, 4530
3, nnnxxxyyy03, 18, nnnxxxyyy18, MS, PG, 5432
3, nnnxxxyyy03, 19, nnnxxxyyy20, MS, PG, 4530
3, nnnxxxyyy03, 19, nnnxxxyyy20, MS, PG, 5432
3, nnnxxxyyy03, 12, nnnxxxyyy12, MS, ZK, 2181
3, nnnxxxyyy03, 13, nnnxxxyyy13, MS, ZK, 2181
3, nnnxxxyyy03, 14, nnnxxxyyy14, MS, ZK, 2181
3, nnnxxxyyy03, 12, nnnxxxyyy12, MS, CS, 9042
3, nnnxxxyyy03, 12, nnnxxxyyy12, MS, CS, 9160
3, nnnxxxyyy03, 13, nnnxxxyyy13, MS, CS, 9042
3, nnnxxxyyy03, 13, nnnxxxyyy13, MS, CS, 9160
3, nnnxxxyyy03, 14, nnnxxxyyy14, MS, CS, 9042
3, nnnxxxyyy03, 14, nnnxxxyyy14, MS, CS, 9160
3, nnnxxxyyy03, 15, nnnxxxyyy15, MS, CS, 9042
3, nnnxxxyyy03, 15, nnnxxxyyy15, MS, CS, 9160
3, nnnxxxyyy03, 16, nnnxxxyyy16, MS, CS, 9042
3, nnnxxxyyy03, 16, nnnxxxyyy16, MS, CS, 9160
3, nnnxxxyyy03, 17, nnnxxxyyy17, MS, CS, 9042
3, nnnxxxyyy03, 17, nnnxxxyyy17, MS, CS, 9160
3, nnnxxxyyy03, 1, nnnxxxyyy01, MS, R, 4527
3, nnnxxxyyy03, 2, nnnxxxyyy02, MS, R, 4527
3, nnnxxxyyy03, 12, nnnxxxyyy12, MS, OL, 10389
3, nnnxxxyyy03, 13, nnnxxxyyy13, MS, OL, 10389
18, nnnxxxyyy18, 3, nnnxxxyyy03, QIS, MS, 8080
19, nnnxxxyyy20, 3, nnnxxxyyy03, QIS, MS, 8080
